,Titulo,Director,Pais,Año,Genero,Duración (Minutos),Protagonistas,Idioma,Producción,Guion,Música,Fotografía,Vestuario,Productora,Presupuesto (Dólares),Recaudación (Dólares),Ganador,MF_Director,MF_Pais,MF_Genero,MF_Protagonistas,MF_Idioma,MF_Producción,MF_Guion,MF_Música,MF_Fotografía,MF_Vestuario,MF_Productora,st_Duración,st_Presupuesto,st_Recaudación
95,Tres hermanos,Francisco Joaquín Paparella,Argentina,1981,Drama,86.0,,Español,"Paula Orlando Esteban Lucangioli Francisco Joaquín Paparella, Marcelo Scoccia  Araquen Rodriguez","Lautaro Gimenez Lini, Francisco Joaquín Paparella",,Roman Kasseroller,Marina Claypole,"Ecstasy Cine, Pelicano Cine, Río Azul Films",,,0,francisco joaquin,argentina,drama,,espanol,paula orlando,lautaro gimenez,,roman kasseroller,marina claypole,ecstasy cine,-0.9056860081517775,,
96,Volver a empezar,José Luis Garci,España,1982,Drama,87.0,"Antonio Ferrandis, Encarna Paso, José Bódalo, Agustín González, Pablo Hoyos, Marta Fernández Muro, Pablo del Hoyo, Alfonso Cabeza, Manuel Vega-Arango",Español,José Luis Merino,"Ángel Llorente, José Luis Garci","Johann Pachelbel, Cole Porter",Manuel Rojas,,Nickelodeon,40000000.0,190713512.0,1,jose luis,espana,drama,antonio ferrandis,espanol,jose luis,angel llorente,johann pachelbel,manuel rojas,,nickelodeon,-0.8776771855261168,-0.13492382238881825,-0.11963389244945477
97,Alsino y el cóndor,Miguel Littín,"Nicaragua, México, Cuba, Costa Rica",1982,Drama bélico,89.0,"Dean Stockwell, Alan Esquivel, Alejandro Parodi",español,"Hernan Littín, Ramiro Lacayo","Miguel Littín, Tomás Pérez Turrent, Isadora Aguirre",Leo Brouwer,"Jorge Herrera, Pablo Martínez",,Instituto Cubano de Arte e Industria Cinematográficos,,,0,miguel littin,nicaragua,drama belico,dean stockwell,espanol,hernan littin,miguel littin,leo brouwer,jorge herrera,,instituto cubano,-0.8216595402747956,,
98,Coup de torchon,Bertrand Tavernier,Francia,1982,Comedia,128.0,"Philippe Noiret, Isabelle Huppert, Jean-Pierre Marielle, Stéphane Audran, Daniel Langlet, Eddy Mitchell, François Perrot, Gérard Hernandez, Guy Marchand, Irène Skobline, Jean Champion, Max Ernst, Michel Beaune, Paul Grimault, Raymond Hermantier, Victor Garrivier",Francés,Adolphe Viezzi,"Bertrand Tavernier, Jean Aurenche",Philippe Sarde,Pierre-William Glenn,Jacqueline Moreau,Little Bear,,16500000.0,0,bertrand tavernier,francia,comedia,philippe noiret,frances,adolphe viezzi,bertrand tavernier,philippe sarde,pierre-william glenn,jacqueline moreau,little bear,0.27068454212596926,,-0.11963959574887913
99,El vuelo del águila,,,1982,,21.0,"Manuel Ojeda, Jacqueline Andere, Humberto Zurita, Mariana Levy, Laura Flores, Salvador Sánchez Patricia Reyes Spíndola, Aarón Hernán, Ernesto Gómez Cruz, Alma Delfina, Eugenio Cobo, Claudio Brook, Diana Bracho, Luis Bayardo, Frank Moro, Mario Iván Martínez",,,,,,,,,,0,,,,manuel ojeda,,,,,,,,-2.7262594788197188,,
100,Vida privada,Yuli Raizman,Unión Soviética,1982,Drama,102.0,"Mikhail Ulyanov, Iya Savvina, Irina Gubanova, Tatyana Dogileva",Ruso,,"Anatoli Grebnev, Yuli Raizman",Vyacheslav Ganelin,"Emil Gulidov, Valentin Piganov",,Mosfilm,,,0,yuli raizman,union sovietica,drama,mikhail ulyanov,ruso,,anatoli grebnev,vyacheslav ganelin,emil gulidov,,mosfilm,-0.4575448461412073,,
101,Fanny y Alexander,Ingmar Bergman,Suecia,1983,Drama,188.0,"Pernilla Allwin Bertil Guve, Börje Ahlstedt, Harriet Andersson Pernilla August, Mats Bergman, Gunnar Björnstrand, Allan Edwall, Stina Ekblad, Ewa Fröling, Erland Josephson, Jarl Kulle, Käbi Laretei, Mona Malm, Jan MalmsjöChristina Schollin, Anna Bergman",Sueco,Katinka Faragó  Jörn Donner.,Ingmar Bergman,"Daniel Bell Schumann:  Quinteto para piano y cuerda en Mi bemol mayor, op. 44; II: In modo d'una marcia, Britten:  Suites para chelo, op. 72, 80 y 87Chopin:  Marcha fúnebre de la Sonata núm. 2 en Si bemol menor, op. 35",Sven Nykvist,Marik Vos-Lundh,"Cinematograph för Filminstitutet, Sveriges Television-1Gaumont, Personalfilm, Tobis Filmkunst",,6795771.0,1,ingmar bergman,suecia,drama,pernilla allwin,sueco,katinka farago,ingmar bergman,op. 72,sven nykvist,marik vos-lundh,cinematograph for,1.9512138996656074,,-0.11963991344021681
102,Carmen,Carlos Saura,España,1983,Musical,102.0,"Antonio Gades, Laura del Sol, Paco de Lucía, Pepa Flores, Cristina Hoyos, Juan Antonio Jiménez, José Yepes",Español,Emiliano Piedra,"Carlos Saura, Antonio Gades","Paco de Lucía, Georges Bizet",Teodoro Escamilla,Teresa Nieto,Televisión Española,,,0,carlos saura,espana,musical,antonio gades,espanol,emiliano piedra,carlos saura,paco de,teodoro escamilla,teresa nieto,television espanola,-0.4575448461412073,,
103,Entre nosotras,Diane Kurys,Francia,1983,Drama,110.0,"Miou-Miou, Isabelle Huppert, Guy Marchand",Francés,Ariel Zeitoun,"Olivier Cohen, Diane Kurys, Alain Le Henry",Luis Enríquez Bacalov,Bernard Lutic,,,,,0,diane kurys,francia,drama,miou-miou,frances,ariel zeitoun,olivier cohen,luis enriquez,bernard lutic,,,-0.2334742651359222,,
104,Jób lázadása,"Imre Gyöngyössy, Barna Kabay",Hungría,1983,Drama,94.0,"Ferenc Zenthe, Hédi Temessy, László Gálffi, Flóra Kádár",Húngaro,,"Imre Gyöngyössy, Katalin Petényi, Barna Kabay",Zoltán Jeney,Gábor Szabó,,,,,0,imre gyongyossy,hungria,drama,ferenc zenthe,hungaro,,imre gyongyossy,zoltan jeney,gabor szabo,,,-0.6816154271464924,,
105,El baile,Ettore Scola,Francia,1983,Musical,110.0,"Francesco De Rosa, Rossana Di Lorenzo, Monica Scattini, Marc Berman, Geneviève Rey-Penchenat, Christophe Allwright, Jean-Claude Penchenat, Jean-François Perrier",,"Mohammed Lakhdar-Hamina, Giorgio Silvagni","Ruggero Maccari, Furio Scarpelli, Ettore Scola, Jean-Claude Penchenat",Vladimir Cosma,Ricardo Aronovich,Ezio Altieri,,,,0,ettore scola,francia,musical,francesco de,,mohammed lakhdar-hamina,ruggero maccari,vladimir cosma,ricardo aronovich,ezio altieri,,-0.2334742651359222,,
106,La diagonal del loco,Richard Dembo,Suiza,1984,"Drama, Deportes",110.0,"Michel Piccoli, Leslie Caron, Liv Ullmann, Alexandre Arbatt, Daniel Olbrychski, Michel Aumont, Serge Avedikian, Pierre Michael",Francés,"Arthur Cohn, Martine Marignac",Richard Dembo,Gabriel Yared,Raoul Coutard,Pierre Albert,Arthur Cohn Productions,,,1,richard dembo,suiza,drama,michel piccoli,frances,arthur cohn,richard dembo,gabriel yared,raoul coutard,pierre albert,arthur cohn,-0.2334742651359222,,
107,Camila,María Luisa Bemberg,Argentina,1984,Histórica,105.0,"Susú Pecoraro, Imanol Arias, Héctor Alterio",Español,"Lita Stantic, Clara Zappettini","María Luisa Bemberg, Beda Docampo Feijóo, Juan Bautista Stagnaro",Luis María Serra,Fernando Arribas,,,,,0,maria luisa,argentina,historica,susu pecoraro,espanol,lita stantic,maria luisa,luis maria,fernando arribas,,,-0.3735183782642254,,
108,Sesión continua,José Luis Garci,España,1984,Drama,96.0,"Adolfo Marsillach, Jesús Puente, Encarna Paso, Emma Suárez, José Bódalo, Víctor Valverde, Yolanda Ríos, Rafael Hernández",Español,José Luis Garci,"José Luis Garci, Horacio Valcárcel",Jesús Gluck,Manuel Rojas,,Nickel Odeon Producciones,70000000.0,,0,jose luis,espana,drama,adolfo marsillach,espanol,jose luis,jose luis,jesus gluck,manuel rojas,,nickel odeon,-0.6255977818951711,-0.1349129683240447,
109,La historia oficial,Luis Puenzo,Argentina,1985,Drama,115.0,"Norma Aleandro, Héctor Alterio, Chunchuna Villafañe, Hugo Arana, Chela Ruiz, Guillermo Battaglia",Español,"Oscar Kramer, Marcelo Piñeyro","Aída Bortnik, Luis Puenzo","Atilio Stampone, Canción:«El país del nomeacuerdo», de María Elena Walsh",Félix Monti,Ticky García Estévez,"Historias Cinematográficas Cinemania, Progress Communications",,29426.0,1,luis puenzo,argentina,drama,norma aleandro,espanol,oscar kramer,aida bortnik,atilio stampone,felix monti,ticky garcia,historias cinematograficas,-0.093430152007619,,-0.11964013495283717
110,Colonel Redl,István Szabó,Austria,1985,Drama,144.0,"Klaus Maria Brandauer, Gudrun Landgrebe, Armin Mueller-Stahl, Hans Christian Blech, Jan Niklas, András Bálint, László Gálffi, Dorottya Udvaros, Károly Eperjes, Flóra Kádár, Péter Andorai, Gábor Ferenczi, Sándor SimóPéter Dobai, Tamás Andor, Can Togay, Edward Żentara, Gyula Gazdag, György Bánffy, Róbert Rátonyi, Pál Sándor, Béla Fáy, Sándor HorváthÁdám Horváth, Lajos Mezey, Teri Tordai, Pál Zolnay, Pálfi Zoltán",Alemán,Manfred Durniok,István SzabóPéter Dobai,Zdenko Tamássy,Lajos Koltai,,"Österreichischer Rundfunk, ZDF",,,0,istvan szabo,austria,drama,klaus maria,aleman,manfred durniok,istvan szabopeter,zdenko tamassy,lajos koltai,,osterreichischer rundfunk,0.7188257041365395,,
111,Trois hommes et un couffin,Coline Serreau,Francia,1985,Comedia,100.0,"Roland Giraud, Michel Boujenah, André Dussollier, Philippine Leroy-Beaulieu",francés,,Coline Serreau,"Jean-Jacques Bouhon, Jean-Yves Escoffier","Jean-Yves Escoffier, Jean-Jacques Bouhon",,"Flach Films, Soprofilms, TF1",,,0,coline serreau,francia,comedia,roland giraud,frances,,coline serreau,jean-jacques bouhon,jean-yves escoffier,,flach films,-0.5135624913925285,,
112,Papá está en viaje de negocios,Emir Kusturica,Yugoslavia,1985,Comedia,136.0,"Moreno D'E Bartolli, Miki ManojlovićMirjana KaranovićMustafa NadarevićMira Furlan, Davor DujmovićPredrag LakovićPavle Vujisić",serbocroata,Mirza Pašić,Abdulah Sidran,Zoran Simjanović,Vilko Filač,,Forum Films & Otras,,41184.0,0,emir kusturica,yugoslavia,comedia,moreno d'e,serbocroata,mirza pasic,abdulah sidran,zoran simjanovic,vilko filac,,forum films,0.49475512313125436,,-0.11964013456791069
113,El asalto,Fons Rademakers,Países Bajos,1986,Cine bélico,155.0,"Derek de Lint, Marc van Uchelen, Monique van de Ven",Neerlandés,Fons Rademakers,"Harry Mulisch, Gerard Soeteman",Jurriaan Andriessen,Theo van de Sande,,The Cannon Group,,,1,fons rademakers,paises bajos,cine belico,derek de,neerlandes,fons rademakers,harry mulisch,jurriaan andriessen,theo van,,the cannon,1.0269227530188065,,
114,Betty Blue,Jean-Jacques Beineix,Francia,1986,Drama,120.0,"Jean-Hugues Anglade, Béatrice Dalle, Gérard Darmon, Consuelo De Haviland, Jacques Mathou, Clémentine Célarié",Francés,"Jean-Jacques Beineix, Claudie Ossard","Philippe Djian, Jean-Jacques Beineix","Gabriel Yared, Contiene obras de Franz Schubert",Jean-François Robin,Elisabeth Tavernier,"Gaumont, Cargo Films",,,0,jean-jacques beineix,francia,drama,jean-hugues anglade,frances,jean-jacques beineix,philippe djian,gabriel yared,jean-francois robin,elisabeth tavernier,gaumont,0.04661396112068417,,
115,El declive del imperio americano,Denys Arcand,Canadá,1986,Comedia/drama,101.0,"Dominique Michel, Dorothée Berryman, Louise Portal, Pierre Curzi, Rémy Girard",francésinglés,"René Malo, Roger Frappier",Denys Arcand,François Dompierre,Guy Dufaux,Denis Sperdouklis,National Film Board of Canada,,,0,denys arcand,canada,comedia/drama,dominique michel,francesingles,rene malo,denys arcand,francois dompierre,guy dufaux,denis sperdouklis,national film,-0.48555366876686795,,
116,El festín de Babette,Gabriel Axel,Dinamarca,1987,Drama,102.0,"Stéphane Audran, Birgitte Federspiel, Bodil Kjer",danésfrancéssueco,"Just Betzer, Bo Christensen, Benni Korzen, Pernille Siesbye","Gabriel Axel, Karen Blixen",Per Nørgård,Henning Kristiansen,,Nordisk Film,,,1,gabriel axel,dinamarca,drama,stephane audran,danesfrancessueco,just betzer,gabriel axel,per norgard,henning kristiansen,,nordisk film,-0.4575448461412073,,
117,"Adiós, muchachos",Louis Malle,Francia,1987,Drama,104.0,"Gaspard Manesse, Rapahel FetjöPhilippe Morier-Genoud, Francine Racette",francés,Louis Malle,Louis Malle,"Franz Schubert, Camille Saint-Saëns",Renato Berta,Corinne Jorry,,,,0,louis malle,francia,drama,gaspard manesse,frances,louis malle,louis malle,franz schubert,renato berta,corinne jorry,,-0.401527200889886,,
118,Asignatura aprobada,José Luis Garci,España,1987,Drama,85.0,"Jesús Puente, Victoria Vera, Teresa Gimpera, Eduardo Hoyo, Pastor Serrador, Ana Rosa Quintana",Español,José Luis Garci,"José Luis Garci, Horacio Valcárcel","Jesús Gluck, Johann Strauss",Manuel Rojas,,Nickel Odeon Dos,150000000.0,,0,jose luis,espana,drama,jesus puente,espanol,jose luis,jose luis,jesus gluck,manuel rojas,,nickel odeon,-0.9336948307774381,-0.13488402415131528,
119,La familia,Ettore Scola,Italia,1987,Drama,137.0,"Vittorio Gassman, Stefania Sandrelli, Fanny Ardant, Sergio Castellitto, Athina Cenci, Jo Champa",Italiano,Franco Committeri,"Ruggero Maccari, Ettore Scola, Furio Scarpelli",Armando Trovajoli,Ricardo Aronovich,Gabriella Pescucci,Cinecittà,,,0,ettore scola,italia,drama,vittorio gassman,italiano,franco committeri,ruggero maccari,armando trovajoli,ricardo aronovich,gabriella pescucci,cinecitta,0.522763945756915,,
120,Pathfinder,Nils Gaup,Noruega,1987,Aventuras,83.0,"Nils-Aslak ValkeapääMikkel Gaup, Helgi Skúlason, Sverre Porsanger, Svein Scharffenberg, Nils Utsi, Sara Marit Gaup, Inger Elin Utsi",Sami septentrional,John M. Jacobsen,Nils Gaup,Nils-Aslak Valkeapää,Erling Andersen Thurmann,,"Norsk Film, Norway Film Development Company, Filmkameratene, Mayco AS",,,0,nils gaup,noruega,aventuras,nils-aslak valkeapaamikkel,sami septentrional,john m.,nils gaup,nils-aslak valkeapaa,erling andersen,,norsk film,-0.9897124760287594,,
121,Pelle el conquistador,Bille August,"Suecia, Dinamarca",1988,Drama,157.0,"Pelle Hvenegaard, Max von Sydow, Erik Paaske, Bjorn Granath, Astrid Villaume, Axel Strobye, Troels Asmussen, Kristina Torquins, Karen Wagener, Sofie Gråbøl, Lars Simonen, Buster Larsen, John Witting, Troels Munk, Nils Bank-Mikkelsen, Lena-Pia Bernardsson, Anna Lise Hirsch, Vilheln Weber, Merete Holst Hansen, Morgens Dester, Tine Stocholm",Sueco,Per Holst,"Martin Andersen NexøBille August, Per Olov Enquist, Bjarne Reuter",Stefan Nilsson,Jörgen Persson,Kiki Llander,"Svensk Filmindustri, Per Holst Filmproduktion, Odyssey Entertainment",,,1,bille august,suecia,drama,pelle hvenegaard,sueco,per holst,martin andersen,stefan nilsson,jorgen persson,kiki llander,svensk filmindustri,1.0829403982701278,,
122,Hanussen,István Szabó,Hungría,1988,Drama,140.0,"Klaus Maria Brandauer, Erland Josephson, Walter Schmidinger",Húngaro,Artur Brauner,"Péter Dobai, István Szabó",György Vukán,Lajos Koltai,Nelly Vágó,,59701.0,82635.0,0,istvan szabo,hungria,drama,klaus maria,hungaro,artur brauner,peter dobai,gyorgy vukan,lajos koltai,nelly vago,,0.606790413633897,-0.13493827287523227,-0.11964013321091224
123,Salaam Bombay!,Mira Nair,"India, Francia, Reino Unido",1988,Drama,113.0,"Shafiq Syed, Hansa Vithal, Chanda Sharma, Raghuvir Yadav, Anita Kanwar y Nana Patekar",Hindi,Mira Nair,Mira Nair y Sooni Taraporevala,L. Subramaniam,Sandi Sissel,,"Mirabai Films, NFDC, Doordarshan, Forum Films",,,0,mira nair,india,drama,shafiq syed,hindi,mira nair,mira nair,l. subramaniam,sandi sissel,,mirabai films,-0.14944779725894028,,
124,Mujeres al borde de un ataque de nervios,Pedro Almodóvar,España,1988,Comedia,88.0,"Carmen Maura, Antonio Banderas, Julieta Serrano, María Barranco, Rossy de Palma, Chus Lampreave, Kiti Mánver",Español,Agustín Almodóvar y Antonio Llorens,Pedro Almodóvar,Bernardo Bonezzi,José Luis Alcaine,José María Cossío,El Deseo,,,0,pedro almodovar,espana,comedia,carmen maura,espanol,agustin almodovar,pedro almodovar,bernardo bonezzi,jose luis,jose maria,el deseo,-0.8496683629004562,,
125,Cinema Paradiso,Giuseppe Tornatore,Italia,1989,Melodrama,155.0,"Philippe Noiret, Salvatore Cascio, Marco Leonardi, Antonella Attili, Jacques Perrin, Agnese Nano, Brigitte Fosey",Italiano,Franco Cristaldi  Giovanna Romagnoli,Giuseppe Tornatore,Ennio Morricone Andrea Morricone,Blasco Giurato,Beatrice Bulgari,Ariane Films,,13019063.0,1,giuseppe tornatore,italia,melodrama,philippe noiret,italiano,franco cristaldi,giuseppe tornatore,ennio morricone,blasco giurato,beatrice bulgari,ariane films,1.0269227530188065,,-0.11963970970574597
126,Camille Claudel,Bruno Nuytten,Francia,1989,Drama,175.0,"Isabelle Adjani, Gérard Depardieu",Francés,"Isabelle Adjani, Christian Fechner","Bruno Nuytten, Marilyn Goldin","Claude Debussy, Música original:Gabriel Yared",Pierre Lhomme,Dominique Borg,,,,0,bruno nuytten,francia,drama,isabelle adjani,frances,isabelle adjani,bruno nuytten,claude debussy,pierre lhomme,dominique borg,,1.5870992055320192,,
127,Jesús de Montreal,Denys Arcand,Canadá,1989,Drama,118.0,Lothaire Bluteau Catherine Wilkening Johanne-Marie Tremblay,Francés,Monique Létourneau,Denys Arcand,Jean-Marie Benoît,Isabelle Dedieu,Louise Jobin,Max Films,,,0,denys arcand,canada,drama,lothaire bluteau,frances,monique letourneau,denys arcand,jean-marie benoit,isabelle dedieu,louise jobin,max films,-0.009403684130637099,,
128,Lo que le pasó a Santiago,Jacobo Morales,Puerto Rico,1989,Comedia,105.0,"Tommy Muñiz, Gladys Rodríguez, Johanna Rosaly, René Monclova",Español,Blanca Silvia Eró  Pedro Muñiz,Jacobo Morales,Pedro Rivera Toledo,,,,,,0,jacobo morales,puerto rico,comedia,tommy muniz,espanol,blanca silvia,jacobo morales,pedro rivera,,,,-0.3735183782642254,,
129,Viaje a la esperanza,Xavier Koller,Suiza,1990,Drama,110.0,"Necmettin Cobanoglu, Nur Sürer, Emin Sivas, Yaman Okay, Mathias Gnädinger, Dietmar Schönherr",Turco,"Peter-Christian Fueter, Alfi Sinniger","Feride Çiçekoğlu, Xavier Koller",Nana Vasconcelos,"Elemér Ragályi, Galip Iyitanir",,"Beyond Films, Premium Films",,,1,xavier koller,suiza,drama,necmettin cobanoglu,turco,peter-christian fueter,feride cicekoglu,nana vasconcelos,elemer ragalyi,,beyond films,-0.2334742651359222,,
130,Cyrano de Bergerac,Jean-Paul Rappeneau,Francia,1990,Comedia,135.0,"Gérard Depardieu, Anne Brochet, Vincent Pérez, Jacques Weber, Pierre Maguelon, Ludivine Sagnier, Sandrine Kiberlain",Francés,"René Cleitman, Michel Seydoux","Jean-Claude Carrière, Jean-Paul Rappeneau",Jean-Claude Petit,Pierre Lhomme,Franca Squarciapino,Hachette Première et Cie,,,0,jean-paul rappeneau,francia,comedia,gerard depardieu,frances,rene cleitman,jean-claude carriere,jean-claude petit,pierre lhomme,franca squarciapino,hachette premiere,0.46674630050559374,,
131,Ju Dou,Zhang Yimou,República Popular China,1990,Drama,95.0,"Gong Li, Li Baotian, Li Wei",Chino mandarín,"Zhang Wenze, Yasuyoshi Tokuma, Hu Jian",Liu Heng,Zhao Jiping,Gu Changwei,,China Film Group Corporation,,1986433.0,0,zhang yimou,republica popular,drama,gong li,chino mandarin,zhang wenze,liu heng,zhao jiping,gu changwei,,china film,-0.6536066045208317,,-0.11964007088549378
132,Mediterráneo,Gabriele Salvatores,Italia,1991,Comedia,96.0,"Diego Abatantuono, Claudio Bigagli, Giuseppe Cederna, Claudio Bisio",italianoinglésgriegoturco,"Silvio Berlusconi, Mario Cecchi Gori, Vittorio Cecchi Gori, Gianni Minervini",Enzo Monteleone,"Giancarlo Bigazzi, Marco Falagiani",Italo Petriccione,,"Medusa Film, Silvio Berlusconi Communications",,,1,gabriele salvatores,italia,comedia,diego abatantuono,italianoinglesgriegoturco,silvio berlusconi,enzo monteleone,giancarlo bigazzi,italo petriccione,,medusa film,-0.6255977818951711,,
133,Oxen,Sven Nykvist,Suecia,1991,Drama,92.0,"Stellan Skarsgård, Max von Sydow, Liv Ullmann, Erland Josephson, Ewa Fröling, Lennart Hjulström, Björn Granath, Rikard Wolff, Helge Jordal, Agneta Prytz",Sueco,Jean Doumanian,Sven Nykvist,Luboš Fišer,Sven Nykvist,,"Nordisk Film, Nordisk Film & TV Fond",,,0,sven nykvist,suecia,drama,stellan skarsgard,sueco,jean doumanian,sven nykvist,lubos fiser,sven nykvist,,nordisk film,-0.7376330723978136,,
134,Dà Hóng Dēnglóng Gāogāo Guà,Zhang Yimou,China,1991,Drama,125.0,Gong Li,Chino mandarín,Fu-Sheng Chiu,"Su Tong, Ni Zhen",Zhao Jiping,Zhao Fei,Huamiao Tong,Century Communications,,2603061.0,0,zhang yimou,china,drama,gong li,chino mandarin,fu-sheng chiu,su tong,zhao jiping,zhao fei,huamiao tong,century communications,0.18665807424898737,,-0.11964005069868922
135,Indochina,Régis  Wargnier,Francia,1992,Drama y romance,148.0,"Catherine Deneuve, Vincent Perez",Francés,Eric Heumann Jean Labadie,"Erik Orsenna, Louis Gardel, Catherine Cohen, Régis Wargnier",Patrick Doyle,François Catonné,Piérre Yves Gayraud,,,,1,regis wargnier,francia,drama y,catherine deneuve,frances,eric heumann,erik orsenna,patrick doyle,francois catonne,pierre yves,,0.8308609946391821,,
136,"Urga, el territorio del amor",Nikita Mijalkov,URSS y Francia,1992,Drama,120.0,"Nikita Mijalkov, Larisa Andreevna Koeznetsova, Vladimir Gostyukhin, Badema, Bayaertu",Ruso,Michel Seydoux,"Rustam Ibrahimbeyov, Nikita Mijalkov",Eduard Artémiev,Vilen Kalyuta,,,,,0,nikita mijalkov,urss y,drama,nikita mijalkov,ruso,michel seydoux,rustam ibrahimbeyov,eduard artemiev,vilen kalyuta,,,0.04661396112068417,,
137,Daens,Stijn Coninx,"Bélgica, Francia, Países Bajos",1992,Drama histórico,138.0,"Jan Decleir, Gérard Desarthe, Antje de Boeck, Michael Pas",neerlandésfrancéslatínespañol,"Dirk Impens, Jean-Luc Ormières, Maria Peters, Hans Pos, Dave Schram  +","Louis Paul Boon, François Chevallier, Stijn Coninx, Addy Weijers",Dirk Brossé,Walther van den Ende,,,,,0,stijn coninx,belgica,drama historico,jan decleir,neerlandesfranceslatinespanol,dirk impens,louis paul,dirk brosse,walther van,,,0.5507727683825756,,
138,Un lugar en el mundo,Adolfo Aristarain,Argentina,1992,Drama,120.0,"José Sacristán, Federico Luppi, Cecilia Roth, Leonor Benedetto, Gastón Batyi, Lorena del Río, Rodolfo Ranni, Hugo Arana, Mariano Ortega",Español,"Adolfo Aristarain, Isidro Miguel, Osvaldo Papaleo","Adolfo Aristarain, Kathy Saavedra, Alberto Lecchi",Emilio Kauderer,Ricardo de Angelis,,,,,0,adolfo aristarain,argentina,drama,jose sacristan,espanol,adolfo aristarain,adolfo aristarain,emilio kauderer,ricardo de,,,0.04661396112068417,,
139,Belle Époque,Fernando Trueba,España,1993,Comedia romántica,108.0,"Ariadna Gil, Penélope Cruz, Maribel VerdúMiriam Díaz-Aroca, Jorge Sanz, Fernando Fernán Gómez, Gabino Diego, Agustín González, Chus Lampreave, Mary Carmen Ramírez",Español,Andrés Vicente Gómez,Rafael Azcona,Antoine Duhamel,José Luis Alcaine,Lala Huete,"Fernando Trueba PCLolafilms, Animatógrafo, French Production",,,1,fernando trueba,espana,comedia romantica,ariadna gil,espanol,andres vicente,rafael azcona,antoine duhamel,jose luis,lala huete,fernando trueba,-0.2894919103872435,,
140,Adiós a mi concubina,Chen Kaige,China,1993,Drama,171.0,"Leslie Cheung, Zhang Fengyi, Gong Li",Chino mandarín,Feng Hsu,"Lillian Lee, Lei Bik-Wa, Wei Lu",Zhao Ji-ping,Gu Changwei,Chen Chang-min,Beijing Film Studio,,6122607.0,0,chen kaige,china,drama,leslie cheung,chino mandarin,feng hsu,lillian lee,zhao ji-ping,gu changwei,chen chang-min,beijing film,1.4750639150293767,,-0.11963993547786367
141,El olor de la papaya verde,Trần Anh Hùng,Francia,1993,Drama,104.0,"Nu Yên-Khê Tran, Man San Lu, Thi Loc Truong, Anh Hoa Nguyen, Hoa Hoi Vuong, Ngoc Trung Tran, Vantha Talisman, Keo Souvannavong, Van Oanh Nguyen, Gerard Neth, Nhat Do, Thi Hai Vo, Thi Thanh Tra Nguyen",Vietnamita,Christophe Rossignon,Trần Anh Hùng,Tôn-Thât Tiêt,Benoît Delhomme,,,1700992.0,,0,tran anh,francia,drama,nu yen-khe,vietnamita,christophe rossignon,tran anh,ton-that tiet,benoit delhomme,,,-0.401527200889886,-0.13493767905260473,
142,El banquete de bodas,Ang Lee,"Taiwán, Estados Unidos",1993,Comedia,106.0,"Dion Birney, Jeanne Kuo Chang, Winston Chao, May Chin, Ah Lei Gua, Sihung Lung, Mitchell Lichtenstein",chino mandaríninglés,"Ang Lee, Ted Hope, James Schamus","Ang Lee, Neil Peng, James Schamus",Mader,Lin Jong,,Good Machine,,,0,ang lee,taiwan,comedia,dion birney,chino mandariningles,ang lee,ang lee,mader,lin jong,,good machine,-0.3455095556385647,,
143,Quemado por el sol,Nikita Mijalkov,Rusia,1994,Drama,152.0,"Oleg Ménshikov, Nikita Mijalkov, Ingeborga DapkūnaitėNadezhda Mijalkova",Ruso,"Nikita Mijalkov, Michel Seydoux","Rustam Ibraguimbékov, Nikita Mijalkov",Eduard Artémiev,Vilen Kalyuta,,"Tri, Te",2800000.0,,1,nikita mijalkov,rusia,drama,oleg menshikov,ruso,nikita mijalkov,rustam ibraguimbekov,eduard artemiev,vilen kalyuta,,tri,0.9428962851418246,-0.13493728142913744,
144,Antes de la lluvia,Milcho Manchevski,Macedonia del Norte,1994,Drama,113.0,"Katrin Cartlidge, Rade Šerbedžija, Phyllida Law, Grégoire Colin, Labina Mitevska, Meto Jovanovski, Daniel Newman, Jay Villiers",Inglés,"Judy Counihan, Cédomir Kolar, Sam Taylor, Cat Villiers",Milcho Manchevski,Anastasia,Manuel Mier y Terán,,"Noé Productions, Aim Rain Limited, Vardar Film",,,0,milcho manchevski,macedonia del,drama,katrin cartlidge,ingles,judy counihan,milcho manchevski,anastasia,manuel mier,,noe productions,-0.14944779725894028,,
145,"Comer, beber, amar",Ang Lee,Taiwán,1994,"Comedia, romance, drama",123.0,"Lung Sihung, Wang Yu-wen, Wu Chien-lien, Yang Kuei-mei",Chino mandarín,"Kong Hsu, Li-Kong Hsu, Feng-Chyt Jiang","Ang Lee, James Schamus, Hui-Ling Wang",,Lin Jong,,,,24200000.0,0,ang lee,taiwan,drama,lung sihung,chino mandarin,kong hsu,ang lee,,lin jong,,,0.1306404289976661,,-0.11963934367081089
146,Farinelli,Gérard Corbiau,Italia,1994,drama,111.0,"Stefano Dionisi, Enrico Lo Verso, Elsa Zylberstein",Italiano,Walther van den Ende,"Marcel Beaulieu, Andrée Corbiau, Gérard Corbiau",Christophe Rousset,Walther van den Ende,"Olga Berluti, Anne de Laugardière",,,,0,gerard corbiau,italia,drama,stefano dionisi,italiano,walther van,marcel beaulieu,christophe rousset,walther van,olga berluti,,-0.20546544251026155,,
