,Titulo,Director,Pais,Año,Genero,Duración (Minutos),Protagonistas,Idioma,Producción,Guion,Música,Fotografía,Vestuario,Productora,Presupuesto (Dólares),Recaudación (Dólares),Ganador,MF_Director,MF_Pais,MF_Genero,MF_Protagonistas,MF_Idioma,MF_Producción,MF_Guion,MF_Música,MF_Fotografía,MF_Vestuario,MF_Productora,st_Duración,st_Presupuesto,st_Recaudación
25,8½,Federico Fellini,Italia,1963,Drama,146.0,"Marcello Mastroianni, Claudia Cardinale, Anouk Aimée, Sandra Milo, Barbara Steele, Rossella Falk",Italiano,Angelo Rizzoli,"Argumento: Federico Fellini, Ennio Flaiano, Guion: Ennio Flaiano, Tullio Pinelli Brunello Rondi, Federico Fellini",Nino Rota,Gianni Di Venanzo,Piero Gherardi,"Cineriz, Francinex",,,1,federico fellini,italia,drama,marcello mastroianni,italiano,angelo rizzoli,argumento: federico,nino rota,gianni di,piero gherardi,cineriz,0.7748433493878607,,
26,El cuchillo en el agua,Roman Polański,Polonia,1963,Drama,94.0,"Leon Niemczyk Jolanta Umecka, Zygmunt Malanowicz, Annamaria Chio",Polaco,Stanislaw Zylewicz,"Jakub Goldberg, Roman Polański, Jerzy Skolimowski",Krzysztof T. Komeda Bernt Rosengren,Jerzy Lipman,Barbara Ptak,"Zespol Filmowy ""Kamera""",,,0,roman polanski,polonia,drama,leon niemczyk,polaco,stanislaw zylewicz,jakub goldberg,krzysztof t.,jerzy lipman,barbara ptak,zespol filmowy,-0.6816154271464924,,
27,Los Tarantos,Francisco Rovira-Beleta,España,1963,Musical,83.0,"Antonio Gades, Carmen Amaya",Español,,"Francisco Rovira-Beleta, Alfredo Mañas","Andrés Batista, Fernando García Morcillo, Emilio Pujol, José Solá",Massimo Dallamano,,,,,0,francisco rovira-beleta,espana,musical,antonio gades,espanol,,francisco rovira-beleta,andres batista,massimo dallamano,,,-0.9897124760287594,,
28,"Ayer, hoy y mañana",Vittorio de Sica,Italia,1964,Comedia,118.0,"Sophia Loren, Marcello Mastroianni, Aldo GiuffrèAgostino Salvietti, Lino Mattera, Tecla Scarano, Silvia Monelli, Carlo Croccolo, Pasquale Cennamo Tonino Cianci, Armando Trovajoli, Tina Pica, Gianni Ridolfi, Gennaro Di Gregorio",Italiano,Carlo Ponti,"Billa Billa, Eduardo De Filippo, Alberto Moravia, Isabella Quarantotti, Cesare Zavattini",Armando Trovaioli,Giuseppe Rotunno,Piero Tosi,,,,1,vittorio de,italia,comedia,sophia loren,italiano,carlo ponti,billa billa,armando trovaioli,giuseppe rotunno,piero tosi,,-0.009403684130637099,,
29,Sallah Shabati,Efraim Kishón,Israel,1964,Comedia,98.0,"Chaim Topol, Arik Einstein, Gila Almagor, Zaharira Harifai",Hebreo,Menahem Golan,Efraim Kishón,Yohanan Zarai,Floyd Crosby,,,,,0,efraim kishon,israel,comedia,chaim topol,hebreo,menahem golan,efraim kishon,yohanan zarai,floyd crosby,,,-0.5695801366438499,,
30,Los paraguas de Cherburgo,Jacques Demy,"Francia, Alemania Occidental",1964,"Musical, drama, romántico",91.0,"Catherine Deneuve, Nino Castelnuovo",Francés,Mag Bodard,Jacques Demy,Michel Legrand,Jean Rabier,,"Parc Film, Madeleine Films, Beta Film",,,0,jacques demy,francia,drama,catherine deneuve,frances,mag bodard,jacques demy,michel legrand,jean rabier,,parc film,-0.7656418950234744,,
31,La mujer de la arena,Hiroshi Teshigahara,Japón,1964,Drama,146.0,"Eiji Okada, Kyōko Kishida",japonés,"Kiichi Ichikawa, Tadashi Ōno",Kōbō Abe,Tōru Takemitsu,Hiroshi Segawa,,Teshigahara Production,,,0,hiroshi teshigahara,japon,drama,eiji okada,japones,kiichi ichikawa,kobo abe,toru takemitsu,hiroshi segawa,,teshigahara production,0.7748433493878607,,
32,La tienda de la Calle Mayor,Ján Kadár,Checoslovaquia,1965,Guerra y Drama,125.0,"Ida Kamińska, Jozef Kroner, Frantisek Zvarík, Hana SlivkováMartin Gregor",Eslovaco,"Jordan Balurov, M. Broz, Karel Feix, Jaromír Lukás, Frank Daniel","Ladislav Grosman, Ján Kadár, Elmar Klos",Zdenek Liska,Vladimír Novotný,,Barrandov Studios,,,1,jan kadar,checoslovaquia,guerra y,ida kaminska,eslovaco,jordan balurov,ladislav grosman,zdenek liska,vladimir novotny,,barrandov studios,0.18665807424898737,,
33,Käre John,Lars-Magnus Lindgren,Suecia,1965,Dramático,115.0,"Jarl Kulle, Christina Schollin",Sueco,"Göran Lindgren, Bo Jonsson",Lars-Magnus Lindgren,Bengt-Arne Wallin,Rune Ericson,Gunilla Pontén,,,,0,lars-magnus lindgren,suecia,dramatico,jarl kulle,sueco,goran lindgren,lars-magnus lindgren,bengt-arne wallin,rune ericson,gunilla ponten,,-0.093430152007619,,
34,Matrimonio a la italiana,Vittorio De Sica,Italia,1965,Romance,95.0,"Sophia Loren, Marcello Mastroianni, Aldo Puglisi, Tecla Scarano, Marilù Tolo, Gianni Ridolfi, Lino Mattera Alfio Vita",Italiano,Carlo Ponti,"Renato Castellani, Antonio Guerra, Leo Benvenuti, Piero de Bernardi",Armando Trovaioli,Roberto Gerardi,Piero Tosi,"Compagnia Cinematografica Champion, Cocinor, Les Films Marceau, Société Générale de Cinématographie, Coproducción Italia-Francia; Compagnia Cinematografica Champion / Les Films",,,0,vittorio de,italia,romance,sophia loren,italiano,carlo ponti,renato castellani,armando trovaioli,roberto gerardi,piero tosi,compagnia cinematografica,-0.6536066045208317,,
35,Un hombre y una mujer,Claude Lelouch,Francia,1966,drama romántico,102.0,"Anouk Aimée, Jean-Louis Trintignant",Francés,Claude Lelouch,"Claude Lelouch, Pierre Uytterhoeven",Francis Lai,Claude Lelouch,,Les Films 13,,,1,claude lelouch,francia,drama romantico,anouk aimee,frances,claude lelouch,claude lelouch,francis lai,claude lelouch,,les films,-0.4575448461412073,,
36,La batalla de Argel,Gillo Pontecorvo,"Argelia, Italia",1966,Histórico,121.0,Brahim Hadjadj Jean Martin Yacef Saâdi Samia Kerbash Ugo Paletti Fusia El Kader Mohamed Ben Kassen,Árabe,Antonio Musu Yacef Saâdi,Gillo Pontecorvo Franco Solinas,Gillo Pontecorvo Ennio Morricone,Marcello Gatti,,Igor Film Casbah Film,,962002.0,0,gillo pontecorvo,argelia,historico,brahim hadjadj,arabe,antonio musu,gillo pontecorvo,gillo pontecorvo,marcello gatti,,igor film,0.07462278374634482,,-0.11964010442271293
37,Los amores de una rubia,Miloš Forman,Checoslovaquia,1966,Drama,90.0,"Hana BrejchováVladimír Pucholt, Vladimír Menšík, Ivan Kheil, Jirí HrubýMilada JezkováJosef Sebánek",Checo,Doro Vlado HreljanovićRudolf Hájek,"Miloš Forman, Jaroslav Papoušek",Evžen Illín,Miroslav Ondrícek,Zdena Snajdarová,Barrandov Studios,,,0,milos forman,checoslovaquia,drama,hana brejchovavladimir,checo,doro vlado,milos forman,evzen illin,miroslav ondricek,zdena snajdarova,barrandov studios,-0.793650717649135,,
38,Faraón,Jerzy Kawalerowicz,República Popular de Polonia,1966,Drama,180.0,"Jerzy Zelnik, Barbara Brylska, Krystyna Mikołajewska, Stanisław Milski, Kazimierz Opaliński, Wiesława Mazurkiewicz, Jerzy Block, Ewa Krzyżewska, Ryszard Ronczewski, Piotr Pawłowski, Leszek Herdegen, Emir Buczacki, Andrzej Girtler, Wiktor Grotowicz, Józef Czerniawski, Edward Rączkowski, Alfred Łodziński, Jarosław Skulski, Leonard Andrzejewski, Lucyna Winnicka, Mieczysław Voit",Polaco,,"Tadeusz Konwicki, Jerzy Kawalerowicz",Adam Walaciński,Jerzy Wójcik,,Filmstudio Kadr,,,0,jerzy kawalerowicz,republica popular,drama,jerzy zelnik,polaco,,tadeusz konwicki,adam walacinski,jerzy wojcik,,filmstudio kadr,1.7271433186603224,,
39,Trenes rigurosamente vigilados,Jiří Menzel,Checoslovaquia,1967,Drama,92.0,"Václav NeckářJitka BendováJosef Somr, Vlastimil BrodskýVladimír Valenta",checoalemán,Zdeněk Oves,Jiří Menzel,Jiří Šust,Jaromír Šofr,Olga Dimitrovová,Barrandov Studios,,1500000.0,1,jiri menzel,checoslovaquia,drama,vaclav neckarjitka,checoaleman,zdenek oves,jiri menzel,jiri sust,jaromir sofr,olga dimitrovova,barrandov studios,-0.7376330723978136,,-0.11964008681005105
40,El amor brujo,Francisco Rovira Beleta,España,1967,Musical,103.0,"Antonio Gades, La Polaca, Rafael de Córdova, Morucha, Nuria Torray",Español,,"José Antonio Medrano, José Manuel Caballero Bonald, Francisco Rovira Beleta","Ernesto Halffter, Narciso Yepes","Gábor Pogány, Francisco Herrada Marín",,"Exclusivas Floralva Producción, Films Rovira Beleta",,,0,francisco rovira,espana,musical,antonio gades,espanol,,jose antonio,ernesto halffter,gabor pogany,,exclusivas floralva,-0.42953602351554665,,
41,Skupljači perja,Aleksandar Petrović,Yugoslavia,1967,Drama,94.0,"Bekim Fehmiu, Olivera Vučo, Bata ŽivojinovićGordana JovanovićMija Aleksić",serbocroata,,Aleksandar Petrović,Aleksandar Petrović,Tomislav Pinter,,,,,0,aleksandar petrovic,yugoslavia,drama,bekim fehmiu,serbocroata,,aleksandar petrovic,aleksandar petrovic,tomislav pinter,,,-0.6816154271464924,,
42,Vivir para vivir,Claude Lelouch,Francia,1967,Drama,130.0,"Yves Montand, Candice Bergen, Annie Girardot",francés,"Georges Dancigers, Alexandre Mnouchkine","Claude Lelouch, Pierre Uytterhoeven",Francis Lai,Patrice Pouget,,Vides Cinematografica,,,0,claude lelouch,francia,drama,yves montand,frances,georges dancigers,claude lelouch,francis lai,patrice pouget,,vides cinematografica,0.32670218737729056,,
