Titulo,Director,Pais,Año,Genero,Duración (Minutos),Protagonistas,Idioma,Producción,Guion,Música,Fotografía,Vestuario,Productora,Presupuesto (Dólares),Recaudación (Dólares),Ganador
Viaje a la esperanza,Xavier Koller,Suiza,1990,Drama,110,"Necmettin Cobanoglu, Nur Sürer, Emin Sivas, Yaman Okay, Mathias Gnädinger, Dietmar Schönherr",Turco,"Peter-Christian Fueter, Alfi Sinniger","Feride Çiçekoğlu, Xavier Koller",Nana Vasconcelos,"Elemér Ragályi, Galip Iyitanir",,"Beyond Films, Premium Films",,,1
Cyrano de Bergerac,Jean-Paul Rappeneau,Francia,1990,Comedia,135,"Gérard Depardieu, Anne Brochet, Vincent Pérez, Jacques Weber, Pierre Maguelon, Ludivine Sagnier, Sandrine Kiberlain",Francés,"René Cleitman, Michel Seydoux","Jean-Claude Carrière, Jean-Paul Rappeneau",Jean-Claude Petit,Pierre Lhomme,Franca Squarciapino,Hachette Première et Cie,,,0
Ju Dou,Zhang Yimou,República Popular China,1990,Drama,95,"Gong Li, Li Baotian, Li Wei",Chino mandarín,"Zhang Wenze, Yasuyoshi Tokuma, Hu Jian",Liu Heng,Zhao Jiping,Gu Changwei,,China Film Group Corporation,,1986433,0
Mediterráneo,Gabriele Salvatores,Italia,1991,Comedia,96,"Diego Abatantuono, Claudio Bigagli, Giuseppe Cederna, Claudio Bisio",italianoinglésgriegoturco,"Silvio Berlusconi, Mario Cecchi Gori, Vittorio Cecchi Gori, Gianni Minervini",Enzo Monteleone,"Giancarlo Bigazzi, Marco Falagiani",Italo Petriccione,,"Medusa Film, Silvio Berlusconi Communications",,,1
Oxen,Sven Nykvist,Suecia,1991,Drama,92,"Stellan Skarsgård, Max von Sydow, Liv Ullmann, Erland Josephson, Ewa Fröling, Lennart Hjulström, Björn Granath, Rikard Wolff, Helge Jordal, Agneta Prytz",Sueco,Jean Doumanian,Sven Nykvist,Luboš Fišer,Sven Nykvist,,"Nordisk Film, Nordisk Film & TV Fond",,,0
Dà Hóng Dēnglóng Gāogāo Guà,Zhang Yimou,China,1991,Drama,125,Gong Li,Chino mandarín,Fu-Sheng Chiu,"Su Tong, Ni Zhen",Zhao Jiping,Zhao Fei,Huamiao Tong,Century Communications,,2603061,0
Indochina,Régis  Wargnier,Francia,1992,Drama y romance,148,"Catherine Deneuve, Vincent Perez",Francés,Eric Heumann Jean Labadie,"Erik Orsenna, Louis Gardel, Catherine Cohen, Régis Wargnier",Patrick Doyle,François Catonné,Piérre Yves Gayraud,,,,1
"Urga, el territorio del amor",Nikita Mijalkov,URSS y Francia,1992,Drama,120,"Nikita Mijalkov, Larisa Andreevna Koeznetsova, Vladimir Gostyukhin, Badema, Bayaertu",Ruso,Michel Seydoux,"Rustam Ibrahimbeyov, Nikita Mijalkov",Eduard Artémiev,Vilen Kalyuta,,,,,0
Daens,Stijn Coninx,"Bélgica, Francia, Países Bajos",1992,Drama histórico,138,"Jan Decleir, Gérard Desarthe, Antje de Boeck, Michael Pas",neerlandésfrancéslatínespañol,"Dirk Impens, Jean-Luc Ormières, Maria Peters, Hans Pos, Dave Schram  +","Louis Paul Boon, François Chevallier, Stijn Coninx, Addy Weijers",Dirk Brossé,Walther van den Ende,,,,,0
Un lugar en el mundo,Adolfo Aristarain,Argentina,1992,Drama,120,"José Sacristán, Federico Luppi, Cecilia Roth, Leonor Benedetto, Gastón Batyi, Lorena del Río, Rodolfo Ranni, Hugo Arana, Mariano Ortega",Español,"Adolfo Aristarain, Isidro Miguel, Osvaldo Papaleo","Adolfo Aristarain, Kathy Saavedra, Alberto Lecchi",Emilio Kauderer,Ricardo de Angelis,,,,,0
